text,label,source
"Official announcement: Reserve Bank of India has issued new regulatory guidelines for digital banking security.",genuine,Public News Archive
"BREAKING: Drinking hot water with lemon instantly cures all viral infections within 2 hours, share with everyone!",misleading,Viral Social Media
"Ministry of Health updates COVID-19 vaccination portal for booster dose appointments across state health centers.",genuine,Public News Archive
"URGENT: Government will block all SIM cards within 24 hours unless you click this link and submit bank details.",misleading,Phishing SMS
"Department of Telecommunications warns citizens against sharing OTPs or financial information over phone calls.",genuine,Government Press Release
"Free laptop scheme announced for all students in India. Fill out the application form on http://free-laptop-2026.site.",misleading,WhatsApp Scam
"National Testing Agency releases official admit cards for competitive entrance examinations on nta.ac.in.",genuine,Official Announcement
"WhatsApp will start charging 0.99 per message from next month unless you forward this message to 20 people!",misleading,Viral Forward
"Indian Meteorological Department issues heatwave warning for northwest regions urging citizens to stay hydrated.",genuine,Weather Bureau
"Government announces Rs 5000 festival bonus for everyone who shares this WhatsApp link with 10 friends.",misleading,Scam Message
"State Bank of India cautions customers against fraudulent links promising instant personal loans without verification.",genuine,Bank Advisory
"Shocking discovery: Eating raw onions under your bed overnight eliminates all toxic radiation from cell phones.",misleading,Fake Health Myth
"Ministry of Education launches digital portal to provide free open-access e-books for school students.",genuine,Ministry Release
"Urgent SMS: Your electricity bill is unpaid. Power supply will be disconnected tonight at 9 PM unless you pay on http://quick-power-pay.info.",misleading,Utility Scam
"Unique Identification Authority of India (UIDAI) allows citizens to update address in Aadhaar online via official portal myaadhaar.uidai.gov.in.",genuine,Official Aadhaar Advisory
"Government is giving free smart TVs to every household under new digital scheme. Apply now at http://free-tv-yojana.com.",misleading,Viral Scam
"Indian Railways introduces new train services to connect rural agricultural hubs with major wholesale markets.",genuine,Railways Press Release
"Warning: Drinking milk right after eating fish creates permanent skin diseases. Spread awareness!",misleading,Health Myth
"Ministry of Micro Small and Medium Enterprises offers collateral-free credit guarantee schemes for small entrepreneurs.",genuine,Ministry Release
"Government has passed a law making it mandatory to share your credit card password with municipal authorities.",misleading,Fake News Forgery
"EPFO enables online claim submission for EPF withdrawal through the official Member Sewa portal.",genuine,Official EPFO Release
"You have won 25 Lakh Rupees in KBC lucky draw! Send Rs 5000 processing fee immediately to claim cash prize.",misleading,Lottery Fraud
"Indian Council of Medical Research releases guidelines for balanced nutrition and dietary intake for adults.",genuine,ICMR Guidelines
"Secret government trick: Forward this message 5 times to turn your phone battery to 100% instantly!",misleading,Viral Myth
"Central Board of Secondary Education announces dates for annual board examinations on cbse.gov.in.",genuine,CBSE Press Release
"Government is revoking all driving licenses issued before 2020. Pay Rs 499 on http://renew-license-fast.net to re-validate.",misleading,Phishing Scam
"Reserve Bank of India maintains repo rate in latest monetary policy committee decision.",genuine,RBI Press Release
"BREAKING: Government will credit Rs 10,000 into every bank account tonight at 12 AM. Click link to confirm account number.",misleading,Phishing Scam
"Department of Consumer Affairs launches helpline 1915 for consumer grievance registration.",genuine,Consumer Affairs Release
"Scientists discover that holding a magnet against your forehead cures headaches in 10 seconds.",misleading,Health Myth
"Ministry of Road Transport and Highways makes FASTag mandatory for seamless electronic toll collection on national highways.",genuine,Transport Ministry
"Urgent alert: Drinking coffee at night causes permanent memory loss according to new fake study.",misleading,Health Misinformation
"Directorate General of Foreign Trade issues notification regarding revised export policy for agricultural commodities.",genuine,DGFT Notification
"Get instant 5G speed boost by dialing *#9900# and sending Rs 100 to private UPI ID!",misleading,Telecom Scam
"Kisan Credit Card interest subvention scheme continues to provide subsidized credit for agricultural operations.",genuine,NABARD Report
"Government bans all private vehicles on highways starting tomorrow morning. Stock up on fuel immediately!",misleading,Social Media Panic
"Ministry of Housing and Urban Affairs provides financial assistance for affordable housing under PMAY-U.",genuine,Ministry Release
"URGENT: UNESCO has declared India's national anthem as the absolute best anthem in the world!",misleading,Viral Hoax
"Ministry of Electronics and IT issues advisory on cybersecurity hygiene and safeguarding personal credentials.",genuine,MeitY Advisory
"Submit your PAN card number on http://pan-tax-refund.org to claim instant Rs 4500 income tax refund!",misleading,Phishing Fraud
"Ministry of Corporate Affairs simplifies company incorporation process through SPICe+ web form.",genuine,Official MCA Release
"Government is giving free smartphones to all citizens who register on http://free-smartphone-2026.net.",misleading,WhatsApp Scam
"National Bank for Agriculture and Rural Development (NABARD) releases annual financial results highlighting rural credit growth.",genuine,NABARD Press Release
"Urgent: Your bank account will be blocked today due to pending KYC verification. Update details on http://bank-kyc-verify.online.",misleading,Bank Phishing
"Bureau of Indian Standards (BIS) mandates ISI mark for household electrical appliances to ensure safety.",genuine,Official BIS Advisory
"Alert: Government announced 100% waiver on electricity bills for next 6 months if you forward this to 10 groups.",misleading,Viral Scam
"Food Safety and Standards Authority of India (FSSAI) conducts nationwide food safety surveillance drives.",genuine,FSSAI Official Release
"Shocking news: NASA confirms 3 days of complete darkness across Earth starting next Monday!",misleading,Social Media Hoax
"Ministry of Skill Development and Entrepreneurship launches PMKVY 4.0 to train youth in Industry 4.0 skills.",genuine,Ministry Release
"Claim your government approved solar panel grant of Rs 50000 by sending your bank OTP to admin.",misleading,Phishing Fraud
