text,label,source,category
"Under PM-KISAN scheme, eligible landholding farmer families receive Rs 6000 per year in three equal installments of Rs 2000 transferred directly into bank accounts via DBT. Check details on official portal pmkisan.gov.in.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-KISAN 17th installment release date has been officially announced by the Agriculture Ministry. Farmers can check DBT status on pmkisan.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers are requested to complete PM-KISAN e-KYC through OTP based authentication on pmkisan.gov.in portal or biometric authentication at nearest CSC centers.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Aadhaar seed link with bank account is mandatory for PM-KISAN benefits. Visit nearest post office or bank branch for direct benefit transfer setup.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-KISAN beneficiary status can be tracked using mobile number or registration number on pmkisan.gov.in official portal.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Samman Nidhi scheme provides direct financial support to small and marginal farmer families to meet farm input expenses.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Eligible farmers who have not received PM-KISAN installment can raise a grievance on pmkisan-ict@gov.in or contact district agriculture office.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Pradhan Mantri Fasal Bima Yojana (PMFBY) provides comprehensive crop insurance coverage against non-preventable natural risks from pre-sowing to post-harvest.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PMFBY enrollment cut-off date for Kharif crops is approaching. Farmers can register at pmfby.gov.in or visit nearest bank branch or CSC center.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PMFBY claims are calculated based on Crop Cutting Experiments (CCE) data and yield estimates submitted by state agriculture departments.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Crop loss notification under PMFBY must be reported within 72 hours of localized calamity occurrence via Crop Insurance App or toll-free number 1800-200-5142.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers can check crop insurance premium calculation for different crops across districts on official portal pmfby.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"PMFBY covers crop damages due to drought, flood, inundation, unseasonal rainfall, landslide, cyclone, and pest attacks.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Credit Card (KCC) scheme provides adequate and timely credit support from the banking system to farmers for cultivation and farm maintenance at 4% effective interest rate.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Government of India offers 2% interest subvention and 3% prompt repayment incentive on short-term crop loans up to Rs 3 lakh through KCC.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Animal husbandry and fisheries farmers are also eligible for Kisan Credit Card (KCC) credit facilities up to Rs 2 lakh at concessional interest rates.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Farmers can apply for Kisan Credit Card at any commercial bank, Regional Rural Bank (RRB), or Cooperative Bank branch with basic land records.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
"KCC credit limit is fixed based on crop pattern, cultivated area, and scale of finance approved by District Level Technical Committee.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
The National Agriculture Market (e-NAM) is an online trading platform for agricultural commodities linking APMC mandis to create a unified national market. Portal: enam.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers can check real-time commodity prices and mandi arrival trends across all states on e-NAM mobile app or official portal enam.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"e-NAM platform enables online bidding, direct payment into farmer bank accounts, and assaying support for quality testing in notified APMC mandis.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Mandi price transparency is facilitated by e-NAM portal linking over 1300 wholesale mandis across India.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Soil Health Card scheme assists state governments to issue Soil Health Cards containing crop-wise recommendations of nutrients and fertilizers for individual farms.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Soil Health Card provides recommendations on 12 key soil parameters including N, P, K, S, Zinc, Iron, Manganese, Copper, Boron, and pH levels.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-PRANAM scheme aims to incentivize states to promote alternative fertilizers and balanced use of chemical fertilizers to protect soil health.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers are advised to use Nano Urea and Nano DAP liquid sprays as per ICAR guidelines to reduce chemical fertilizer consumption and input costs.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
ICAR recommends soil sample collection after harvest and before sowing to get accurate fertilizer dose recommendations.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Organic carbon enrichment in soil can be improved by applying farmyard manure, vermicompost, and green manure crops like dhaincha.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Under PM-KUSUM Component-B, individual farmers can install standalone solar agriculture pumps with up to 60 percent subsidy from central and state government.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-KUSUM Component-C allows solarisation of grid-connected agriculture pumps enabling farmers to sell surplus solar power back to DISCOMs.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers can apply for solar pump subsidy under PM-KUSUM scheme only through official state nodal energy agency portals or mnre.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-KUSUM scheme helps farmers reduce dependence on diesel pumps and ensures reliable day-time irrigation power.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Sub-Mission on Agricultural Mechanization (SMAM) provides financial assistance and subsidy for farm machinery procurement through official portal agrimachinery.nic.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Paramparagat Krishi Vikas Yojana (PKVY) promotes cluster-based organic farming with financial assistance of Rs 50,000 per hectare over three years for organic inputs.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Agriculture Infrastructure Fund (AIF) provides medium-long term debt financing facility with 3% interest subvention for post-harvest infrastructure projects.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Mission for Integrated Development of Horticulture (MIDH) supports holistic growth of horticulture sector including fruits, vegetables, spices, and flowers.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Custom Hiring Centers (CHC) established under SMAM enable small and marginal farmers to rent expensive farm equipment at affordable rates.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
