text,label,source,category
Urgent: Government is providing 90% subsidy on buying new tractors under PM Kisan Tractor Scheme 2026. Click here http://pmkisan-tractor-subsidy.online to apply immediately!,misleading,WhatsApp Forward,Scheme Scam
Under PM-KISAN scheme eligible landholding farmer families receive Rs 6000 per year in three equal installments of Rs 2000 directly transferred into bank accounts. Check details on official portal pmkisan.gov.in.,genuine,Official Government Portal,Scheme Info
All farmers get free solar pump set without any documents or registration fees! Send your Aadhaar card photo to this WhatsApp number to claim your pump today.,misleading,WhatsApp Forward,Scam
Pradhan Mantri Fasal Bima Yojana (PMFBY) provides comprehensive crop insurance against non-preventable natural risks. Farmers can enroll at pmfby.gov.in or nearest bank branch before the cutoff date.,genuine,Official Agriculture Ministry,Insurance
Shocking news! Government has banned the sale of urea and DAP fertilizers across India starting tomorrow. Buy extra bags immediately before stock ends!,misleading,Social Media Rumor,Fertilizer Rumor
Soil Health Card scheme assists farmers to issue Soil Health Cards which contain crop-wise recommendations of nutrients and fertilizers required for the individual farms.,genuine,Official Portal,Soil Health
Government is waiving off all private bank tractor loans and farm credit card loans up to 10 lakhs automatically. Register your details at http://farm-loan-waiver.org now!,misleading,WhatsApp Forward,Loan Scam
Kisan Credit Card (KCC) scheme provides adequate and timely credit support from the banking system to farmers for their cultivation and agricultural needs at subsidized interest rates.,genuine,Reserve Bank / NABARD,Credit
Attention farmers: Spraying concentrated salt solution on paddy crops completely destroys all insects and doubles crop yield in 3 days!,misleading,Social Media Advice,Fake Pest Advice
Integrated Pest Management (IPM) techniques recommend regular field monitoring and using biological pest controls before resorting to chemical pesticide sprays.,genuine,ICAR Advisory,Agri Advisory
URGENT ATTENTION: PM Kisan Scheme payment has been suspended for all farmers. To unblock your account pay Rs 250 processing fee at http://pmkisan-unblock-dbt.site within 24 hours.,misleading,Phishing SMS,Phishing Scam
The National Agriculture Market (e-NAM) is an online trading platform for agricultural commodities in India linking existing APMC mandis to create a unified national market.,genuine,Official Portal,e-NAM
Government announces 100% free electricity and free diesel for all tubewells across all states. Share this message to 10 WhatsApp groups to activate free power on your meter.,misleading,Viral Chain Message,Viral Scam
Sub-Mission on Agricultural Mechanization (SMAM) provides financial assistance and subsidy for agricultural machinery procurement through official portal agrimachinery.nic.in.,genuine,Ministry of Agriculture,Mechanization
Boiling neem leaves with diesel and spraying on cotton crops completely cures pink bollworm infestation overnight without damaging plants.,misleading,WhatsApp Advisory,Fake Advisory
"Paramparagat Krishi Vikas Yojana (PKVY) promotes cluster-based organic farming with financial assistance of Rs 50,000 per hectare over three years for organic inputs and certification.",genuine,Ministry of Agriculture,Organic Farming
PM Modi is giving Rs 15000 cash bonus to every farmer who forwards this message to 5 WhatsApp contacts and fills out the form at http://pm-bonus-kisan.info!,misleading,WhatsApp Forward,Viral Scam
