text,label,source,category
Ministry of Education launches digital portal to provide free open-access e-books for school students.,genuine,Ministry Release,
Farmers can check crop insurance premium calculation for different crops across districts on official portal pmfby.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Mission for Integrated Development of Horticulture (MIDH) supports holistic growth of horticulture sector including fruits, vegetables, spices, and flowers.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Central Board of Secondary Education announces dates for annual board examinations on cbse.gov.in.,genuine,CBSE Press Release,
Custom Hiring Centers (CHC) established under SMAM enable small and marginal farmers to rent expensive farm equipment at affordable rates.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Credit Card (KCC) par interest rate subsidised hai. Apne bank branch me jaakar form bharein aur 4 percent interest rate ka labh uthayein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"genuine agricture deal, buy from our portal agribharat.gov.in and get subsidy if eligible , first contact agricuklture ofice",misleading,WhatsApp / Phishing SMS,Scam / Fake News
Alert: Government will confiscate agricultural land if farmers do not complete land link verification on http://kisan-land-verify.com before midnight!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Mupht tractor yojana 2026: Is WhatsApp message ko 10 logo ko bhejo aur http://free-tractor-yojana.info par apna naam darj karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
State Bank of India cautions customers against fraudulent links promising instant personal loans without verification.,genuine,Bank Advisory,
"KCC credit limit is fixed based on crop pattern, cultivated area, and scale of finance approved by District Level Technical Committee.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Kisan ki kist ruk gayi hai toh turant Rs 199 pay karke ekyc karein link http://pmkisan-ekyc-update.info par. 24 ghante me account block ho jayega.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Sabhi kisano ko 15000 rupaye ki aarthik sahayata di ja rahi hai. Form bharne ke liye http://kisan-sahayata.xyz par click karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Eligible farmers who have not received PM-KISAN installment can raise a grievance on pmkisan-ict@gov.in or contact district agriculture office.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Bureau of Indian Standards (BIS) mandates ISI mark for household electrical appliances to ensure safety.,genuine,Official BIS Advisory,
Soil Health Card scheme assists state governments to issue Soil Health Cards containing crop-wise recommendations of nutrients and fertilizers for individual farms.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
The National Agriculture Market (e-NAM) is an online trading platform for agricultural commodities linking APMC mandis to create a unified national market. Portal: enam.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Alert: Government will stop buying wheat at MSP from next season. Sell your harvest immediately to private traders.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
The Cabinet Committee on Economic Affairs (CCEA) approves Minimum Support Prices (MSP) for mandated Kharif and Rabi crops based on CACP recommendations.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers can apply for solar pump subsidy under PM-KUSUM scheme only through official state nodal energy agency portals or mnre.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Unique Identification Authority of India (UIDAI) allows citizens to update address in Aadhaar online via official portal myaadhaar.uidai.gov.in.,genuine,Official Aadhaar Advisory,
"Organic carbon enrichment in soil can be improved by applying farmyard manure, vermicompost, and green manure crops like dhaincha.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Credit Card (KCC) scheme provides adequate and timely credit support from the banking system to farmers for cultivation and farm maintenance at 4% effective interest rate.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
